buy_service_id,spm_kpi_tt,tt_flag
N1397742,Correct,1
N1397740,,
N1397730,,
N1397738,,
N1397737,,
N1397734,,
N1397733,,
N1397724,,
N1397732,,
N1397731,,
N1397719,,
N1397729,,
N1415492,,
N1415497,,
N1415495,,
N1415494,,
N1397717,,
N1397708,,
N1397720,,
N1397715,,
N1397705,,
N1397714,,
N1397728,,
N1397726,,
N1397700,,
N1397710,,
N1397709,,
N1397698,,
N1397692,,
N1397702,,
N1397704,,
N1397695,,
N1397845,,
N1397849,,
N1397841,,
N1397846,,
N1397847,,
N1397840,,
N1397839,,
N1406303,Correct,1
N1397842,,
N1397837,,
N1397833,,
N1397834,,
N1397835,,
N1397811,,
N1397829,,
N1397830,,
N1397825,,
N1397828,,
N1397831,,
N1397826,,
N1397820,,
N1397827,,
N1397817,,
N1397823,,
N1397822,,
N1397814,,
N1397821,,
N1397810,,
N1397816,,
N1397812,,
N1397813,,
N1397806,,
N1397809,,
N1397808,,
N1397801,,
N1397798,,
N1397803,,
N1397805,,
N1397804,,
N1397791,,
N1397802,,
N1397795,,
N1397788,,
N1397794,,
N1406314,Correct,1
N1397786,,
N1397789,,
N1397792,,
N1410892,,
N1397784,,
N1397782,,
N1397780,,
N1397781,,
N1397779,,
N1397776,,
N1397778,,
N1397772,,
N1398223,,
N1398225,,
N1398221,,
N1398219,,
N1531477,,
N1460064,Correct,1
N1398452,,
N1398210,,
N1398215,,
N1398216,,
N1395978,Correct,1
N1398211,,
N1398208,,
N1398204,,
N1398207,,
N1398206,,
N1398304,,
N1398205,,
N1398200,,
N1415397,,
N1415396,,
N1415406,,
N1415394,,
N1398197,,
N1398194,,
N1398956,,
N1398198,,
N1398190,,
N1398186,,
N1398191,,
N1398368,,
N1398192,,
N1398188,,
N1398182,,
N1398187,,
N1398184,,
N1398183,,
N1398180,,
N1398178,,
N1395541,,
N1398177,,
N1398176,,
N1398173,,
N1398166,,
N1398171,,
N1398174,,
N1398172,,
N1398165,,
N1398163,,
N1398169,,
N1398167,,
N1491831,,
N1506279,,
N1483211,,
N1398158,,
N1398156,,
N1398146,,
N1398297,,
N1398293,,
N1398287,,
N1398291,,
N1398288,,
N1398283,,
N1398286,,
N1398289,,
N1398284,,
N1398285,,
N1398281,,
N1398277,,
N1398280,,
N1398273,,
N1398278,,
N1398279,,
N1398268,,
N1410958,,
N1398270,,
N1398269,,
N1398492,,
N1398264,,
N1398260,,
N1398261,,
N1398258,,
N1395735,,
N1398254,,
N1398311,Correct,1
N1398255,,
N1398826,,
N1398252,,
N1398248,,
N1398246,,
N1398249,,
N1398250,Correct,1
N1398247,,
N1398245,,
N1398244,,
N1398240,,
N1398238,Correct,1
N1398236,,
N1398241,,
N1398232,,
N1398237,,
N1398228,,
N1398217,,
N1398233,,
N1398234,,
N1398229,,
N1398224,,
N1398230,,
N1398226,,
N1398222,,
N1398058,,
N1398057,,
N1398056,,
N1398054,,
N1437408,,
N1437421,,
N1437422,,
N1398078,,
N1434749,Correct,1
N1398046,,
N1398041,,
N1398039,,
N1398042,,
N1398043,,
N1398082,,
N1398036,,
N1398035,,
N1398033,,
N1398034,,
N1398032,,
N1398031,,
N1398030,,
N1398029,,
N1398023,,
N1398027,,
N1398025,,
N1398026,,
N1398022,,
N1398021,,
N1398018,,
N1398016,,
N1398015,,
N1413417,Incorrect,1
N1561098,,
N1398009,Correct,1
N1398007,,
N1398005,,
N1398008,,
N1398004,,
N1398001,,
N1398003,,
N1398002,,
N1397999,,
N1398000,,
N1397998,,
N1397997,,
N1397996,,
N1397995,,
N1397993,,
N1397991,,
N1397992,,
N1397990,,
N1397988,,
N1397986,,
N1397984,,
N1397987,,
N1397982,,
N1398152,,
N1398153,,
N1398142,,
N1527320,,
N1552188,,
N1437407,,
N1398129,,
N1398136,,
N1437411,,
N1437418,,
N1398123,,
N1398114,,
N1415440,,
N1415442,,
N1395868,Correct,1
N1398119,,
N1398113,,
N1398117,,
N1398108,,
N1398115,,
N1398110,,
N1398104,,
N1415423,,
N1415424,Correct,1
N1415421,,
N1398098,,
N1398102,,
N1398095,,
N1398099,,
N1398093,,
N1398096,,
N1398532,,
N1398091,,
N1398087,,
N1398090,,
N1398086,,
N1398083,,
N1398089,Correct,1
N1398088,,
N1398085,,
N1398079,,
N1398084,,
N1398077,,
N1398080,,
N1398075,,
N1398074,,
N1398073,,
N1398072,,
N1398071,,
N1398069,,
N1398070,,
N1398068,,
N1398065,,
N1398067,Incorrect,1
N1398063,,
N1398066,,
N1398062,,
N1398061,,
N1398059,,
N1398060,,
N1397281,,
N1399735,Correct,1
N1397285,,
N1397277,,
N1410949,,
N1397275,,
N1397280,,
N1410947,,
N1397274,,
N1397272,,
N1397271,,
N1397269,,
N1397270,,
N1397266,,
N1397264,,
N1397267,,
N1397261,,
N1397260,,
N1397259,,
N1397257,,
N1397248,,
N1397255,,
N1397246,,
N1397249,,
N1397243,,
N1397251,,
N1397239,,
N1397245,,
N1397241,,
N1397236,,
N1470994,,
N1397227,,
N1397232,,
N1397230,,
N1397228,,
N1397226,,
N1397225,,
N1397223,,
N1397221,,
N1397219,,
N1397214,,
N1397220,,
N1397217,,
N1397215,,
N1397353,,
N1397354,,
N1397351,,
N1397331,,
N1397349,,
N1397347,,
N1397345,,
N1397343,,
N1397341,,
N1397339,,
N1397336,,
N1397333,,
N1397334,,
N1397335,Incorrect,1
N1397330,,
N1397328,,
N1397326,,
N1397329,,
N1397324,,
N1397327,,
N1397325,,
N1397322,,
N1397319,,
N1397323,,
N1397317,,
N1397321,Correct,1
N1397320,,
N1397313,,
N1410950,,
N1397311,,
N1397310,Correct,1
N1397315,,
N1397308,,
N1397312,,
N1397309,,
N1397306,,
N1397305,,
N1397304,,
N1397302,,
N1397288,,
N1397301,,
N1397300,,
N1397298,,
N1397296,,
N1397297,,
N1397292,,
N1397290,,
N1397293,,
N1397286,,
N1397138,,
N1397134,,
N1397160,Correct,1
N1397136,,
N1397131,,
N1508491,,
N1525603,,
N1397125,,
N1397126,,
N1397122,,
N1397120,,
N1397123,,
N1397119,,
N1397114,,
N1397111,,
N1395690,Incorrect,1
N1397116,,
N1397112,,
N1397108,,
N1397103,,
N1397109,,
N1397106,,
N1433728,Correct,1
N1397100,,
N1397097,,
N1397098,,
N1397096,,
N1397086,,
N1397101,,
N1397085,,
N1397080,,
N1397077,,
N1397083,,
N1397073,,
N1418345,,
N1397076,,
N1397067,,
N1397062,,
N1397072,,
N1397068,,
N1397058,,
N1397053,,
N1397063,,
N1397048,,
N1397057,,
N1397042,,
N1397052,,
N1397035,,
N1397213,,
N1397211,,
N1397212,,
N1397207,,
N1397209,,
N1397205,,
N1397203,,
N1397206,,
N1397204,,
N1397200,,
N1397196,,
N1397193,,
N1397201,,
N1397195,,
N1397189,,
N1397191,,
N1397186,,
N1397187,,
N1397184,,
N1397182,,
N1397364,,
N1397181,,
N1397180,,
N1397178,,
N1397175,,
N1431061,Correct,1
N1413124,,
N1413068,,
N1397176,,
N1397171,,
N1397173,,
N1397166,,
N1397162,,
N1397169,,
N1397172,Correct,1
N1397156,,
N1397165,,
N1397167,Correct,1
N1397159,,
N1397150,,
N1397154,,
N1397147,,
N1397142,,
N1397151,,
N1397144,,
N1397617,,
N1397608,,
N1397610,,
N1397602,,
N1397611,,
N1399367,Correct,1
N1397620,,
N1397597,,
N1397607,,
N1397609,,
N1397604,,
N1397592,,
N1397603,,
N1397599,Correct,1
N1397598,,
N1397595,,
N1397589,,
N1397594,,
N1397593,,
N1397590,,
N1397584,,
N1397581,,
N1395928,,
N1397582,,
N1397577,,
N1397585,,
N1395872,Correct,1
N1397573,,
N1397574,,
N1397570,,
N1397576,,
N1397578,,
N1397567,,
N1397571,,
N1397569,,
N1397564,,
N1397561,,
N1397556,,
N1397551,,
N1397558,,
N1397557,,
N1397555,Correct,1
N1397547,,
N1397554,,
N1397543,,
N1397545,,
N1397539,,
N1397534,,
N1397541,,
N1397538,,
N1397536,,
N1397530,,
N1398703,Correct,1
N1397527,,
N1397533,,
