sale_service_id,pickup_reason_code_status,delivery_reason_code_status
01GDQX6,RC no needed,RC no needed
01G79TF,RC no needed,RC no needed
01G7LY3,RC no needed,Updated RC
01GEKLH,Updated RC,Updated RC
01G82LT,RC no needed,RC no needed
01GK0H6,RC no needed,RC no needed
01G8CWL,RC no needed,RC no needed
01G5VH6,Updated RC,RC no needed
01GA9WJ,Updated RC,Updated RC
01G93PV,RC no needed,Updated RC
01G4JG4,RC no needed,Updated RC
01G7R16,RC no needed,RC no needed
01GGLFV,RC no needed,Updated RC
01GAU9L,RC no needed,RC no needed
01GDW2M,Updated RC,Updated RC
01G9N4P,RC no needed,Updated RC
01GJKHL,RC no needed,Updated RC
01G61Y8,RC no needed,RC no needed
01GDGW2,RC no needed,Updated RC
01G8P00,Updated RC,RC no needed
01GCAPX,RC no needed,RC no needed
01GFA6V,Updated RC,Updated RC
01GKYFA,Missing RC,RC no needed
01GK4N1,RC no needed,RC no needed
01G7R01,RC no needed,RC no needed
01GE14R,RC no needed,RC no needed
01FJYG7,RC no needed,RC no needed
01G3V54,RC no needed,RC no needed
01GF48T,RC no needed,RC no needed
01FJYGD,RC no needed,RC no needed
01GCGLE,RC no needed,RC no needed
01GEX6F,RC no needed,RC no needed
01FUFYP,RC no needed,RC no needed
01G45MF,RC no needed,RC no needed
01G9X3A,RC no needed,RC no needed
01GF47K,RC no needed,RC no needed
01FJYAK,RC no needed,RC no needed
01GDAM5,RC no needed,Updated RC
01FJYGC,Updated RC,RC no needed
01G5GH4,RC no needed,RC no needed
01GD81M,RC no needed,RC no needed
01FULFH,RC no needed,RC no needed
01GDEQ0,RC no needed,RC no needed
01FUHE9,RC no needed,RC no needed
01GDAFU,RC no needed,RC no needed
01GD81Y,RC no needed,RC no needed
01GGVDK,RC no needed,RC no needed
01FUG4N,RC no needed,RC no needed
01FUG84,Updated RC,RC no needed
01GD7UK,RC no needed,RC no needed
01GD805,RC no needed,RC no needed
01FV9QU,RC no needed,RC no needed
01GD92E,RC no needed,RC no needed
01GARTQ,RC no needed,RC no needed
01FYQME,RC no needed,RC no needed
01G9Q5V,RC no needed,RC no needed
01G9QJM,RC no needed,RC no needed
01G3V56,RC no needed,RC no needed
01GEXJM,RC no needed,RC no needed
01FX9VJ,RC no needed,RC no needed
01FY35K,Updated RC,Updated RC
01G3UY7,RC no needed,RC no needed
01G464X,RC no needed,RC no needed
01FU077,RC no needed,RC no needed
01GD80L,RC no needed,RC no needed
01GF188,RC no needed,RC no needed
01GF2U4,RC no needed,RC no needed
01FU07C,Updated RC,Updated RC
01FU07D,Updated RC,RC no needed
01GF124,RC no needed,RC no needed
01GE34K,RC no needed,RC no needed
01GD4KA,RC no needed,RC no needed
01G9X0A,Updated RC,Updated RC
01GARVN,RC no needed,RC no needed
01GD0RN,RC no needed,RC no needed
01GARVU,RC no needed,RC no needed
01G45W4,RC no needed,RC no needed
01G9WXN,RC no needed,RC no needed
01GE17P,RC no needed,RC no needed
01GHRC5,RC no needed,RC no needed
01GD43X,RC no needed,RC no needed
01GD1ME,RC no needed,RC no needed
01GD43N,RC no needed,RC no needed
01G432Q,RC no needed,RC no needed
01GAULV,RC no needed,RC no needed
01GD42A,RC no needed,RC no needed
01G5JFD,RC no needed,RC no needed
01FUGCX,Updated RC,Updated RC
01GF2TA,RC no needed,RC no needed
01GF2QW,RC no needed,RC no needed
01GF2P4,RC no needed,RC no needed
01FUGCG,RC no needed,Updated RC
01GF2F1,RC no needed,RC no needed
01FUGCQ,Updated RC,Updated RC
01GDEDP,RC no needed,RC no needed
01GD9AQ,RC no needed,RC no needed
01GE5DJ,RC no needed,RC no needed
01G00QQ,RC no needed,RC no needed
01GE14L,RC no needed,RC no needed
01GDW1Y,RC no needed,RC no needed
01GARTT,RC no needed,RC no needed
01FJYKY,Updated RC,RC no needed
01GDEF0,RC no needed,RC no needed
01GE12V,RC no needed,RC no needed
01GDAD7,RC no needed,RC no needed
01GDCV5,RC no needed,RC no needed
01GDHD7,RC no needed,RC no needed
01GDAUK,RC no needed,RC no needed
01FXA0Q,RC no needed,RC no needed
01GDGUK,RC no needed,RC no needed
01FUU9A,Updated RC,RC no needed
01GCGLY,RC no needed,RC no needed
01GDD27,RC no needed,RC no needed
01GDEQ2,RC no needed,RC no needed
01GDH58,RC no needed,RC no needed
01FXA23,Updated RC,RC no needed
01GDHDA,RC no needed,RC no needed
01GDE5P,RC no needed,RC no needed
01G46A0,RC no needed,RC no needed
01GE17W,RC no needed,RC no needed
01GD4CH,RC no needed,RC no needed
01GE13C,RC no needed,RC no needed
01GE17L,RC no needed,RC no needed
01GDLW5,RC no needed,RC no needed
01G4291,Updated RC,RC no needed
01FXNEJ,RC no needed,RC no needed
01G45WJ,RC no needed,RC no needed
01GD810,RC no needed,RC no needed
01FUP33,RC no needed,Updated RC
01GD2MJ,RC no needed,RC no needed
01GCYDU,RC no needed,RC no needed
01G9X4P,RC no needed,RC no needed
01GF9T1,RC no needed,RC no needed
01FUL78,RC no needed,RC no needed
01G5JEY,RC no needed,RC no needed
01FK96Y,RC no needed,RC no needed
01FNP27,RC no needed,RC no needed
01G5TTY,RC no needed,RC no needed
01FMGFK,Updated RC,Updated RC
01GEV9A,RC no needed,RC no needed
01FNK31,RC no needed,RC no needed
01GAUR2,RC no needed,RC no needed
01FMF8H,Updated RC,Updated RC
01FQF56,Updated RC,RC no needed
01GC92M,RC no needed,RC no needed
01FM0N6,Updated RC,RC no needed
01GEDW4,RC no needed,RC no needed
01GAU4A,RC no needed,RC no needed
01FMCC5,RC no needed,RC no needed
01FMGFM,Updated RC,Updated RC
01FPX6J,RC no needed,RC no needed
01GEFYK,RC no needed,RC no needed
01FN0P7,RC no needed,RC no needed
01FU2XV,Updated RC,Updated RC
01G3W7P,RC no needed,RC no needed
01G9QQM,RC no needed,RC no needed
01GEKRK,RC no needed,RC no needed
01FU5XJ,RC no needed,RC no needed
01FU0RX,RC no needed,RC no needed
01FMHJQ,RC no needed,RC no needed
01GLCKJ,RC no needed,RC no needed
01FNWDA,Updated RC,Updated RC
01FLUGC,RC no needed,RC no needed
01GEQA4,RC no needed,RC no needed
01GL912,RC no needed,RC no needed
01GET00,RC no needed,RC no needed
01GLCJF,RC no needed,RC no needed
01G5UV6,RC no needed,RC no needed
01G4GG3,RC no needed,RC no needed
01FNJWN,RC no needed,RC no needed
01FU65L,RC no needed,RC no needed
01G5737,Updated RC,Updated RC
01G56HH,RC no needed,RC no needed
01GEFYA,RC no needed,RC no needed
01FQDKT,RC no needed,Updated RC
01FLURG,RC no needed,RC no needed
01FNP5Y,RC no needed,Updated RC
01FMGHH,Updated RC,RC no needed
01GCPNC,RC no needed,RC no needed
01GE7GG,RC no needed,RC no needed
01G4DDP,Updated RC,RC no needed
01FNX3Y,RC no needed,RC no needed
01FPX48,RC no needed,RC no needed
01FMJFW,RC no needed,RC no needed
01GEMA7,RC no needed,RC no needed
01FNKLG,RC no needed,RC no needed
01GEMA9,RC no needed,RC no needed
01GF84N,RC no needed,RC no needed
01GEMCP,RC no needed,RC no needed
01G4D2M,Updated RC,Updated RC
01GEM6G,RC no needed,RC no needed
01GEG2E,RC no needed,Updated RC
01FN0LH,RC no needed,RC no needed
01G9TKQ,RC no needed,RC no needed
01G5TP1,RC no needed,RC no needed
01G5V2X,RC no needed,RC no needed
01FQ5PP,Updated RC,RC no needed
01FN0M9,RC no needed,RC no needed
01FU5XX,RC no needed,RC no needed
01G5R76,Updated RC,Updated RC
01FQEV3,Updated RC,Updated RC
01GCP0H,RC no needed,RC no needed
01GEKH5,RC no needed,RC no needed
01GEV9E,RC no needed,RC no needed
01FMHC2,RC no needed,Updated RC
01GEPCF,RC no needed,RC no needed
01GEV5G,RC no needed,RC no needed
01FK959,RC no needed,RC no needed
01FV7H7,RC no needed,RC no needed
01GEV94,Updated RC,RC no needed
01GET0C,RC no needed,RC no needed
01GERTG,RC no needed,RC no needed
01FNP1X,RC no needed,RC no needed
01G3WMU,RC no needed,RC no needed
01FU5XL,RC no needed,Updated RC
01GEH9T,RC no needed,RC no needed
01G3WFK,RC no needed,RC no needed
01FPX6H,RC no needed,RC no needed
01G9TFF,RC no needed,RC no needed
01GEHA9,RC no needed,RC no needed
01G3WXL,Updated RC,RC no needed
01FU286,RC no needed,RC no needed
01GEPC7,RC no needed,RC no needed
01GCP9K,RC no needed,RC no needed
01G4JYM,RC no needed,RC no needed
01GFA3H,RC no needed,RC no needed
01FM3KX,Updated RC,RC no needed
01FMC10,RC no needed,Updated RC
01GFA7Q,RC no needed,RC no needed
01FV5YM,Updated RC,Updated RC
01FLYMN,RC no needed,RC no needed
01GCPAK,RC no needed,RC no needed
01G4H07,RC no needed,RC no needed
01G5NHU,RC no needed,Updated RC
01FV497,RC no needed,RC no needed
01G4D9R,RC no needed,RC no needed
01G5NHN,RC no needed,RC no needed
01GAXL7,RC no needed,RC no needed
01FLYMR,Updated RC,Updated RC
01GC0D6,RC no needed,RC no needed
01FPX39,RC no needed,RC no needed
01GFD9T,RC no needed,Updated RC
01G5NHQ,RC no needed,Updated RC
01GEQKC,RC no needed,RC no needed
01G5NHL,RC no needed,RC no needed
01FLYM1,RC no needed,RC no needed
01FNUL2,Updated RC,RC no needed
01G9U9E,RC no needed,RC no needed
01FV5TX,RC no needed,RC no needed
01GFA64,RC no needed,RC no needed
01FPX6F,RC no needed,RC no needed
01GEP5V,RC no needed,RC no needed
01G4K28,RC no needed,RC no needed
01FV481,Updated RC,RC no needed
01FNUYH,RC no needed,Updated RC
01FPY21,RC no needed,RC no needed
01GF65J,RC no needed,RC no needed
01GF62X,RC no needed,RC no needed
01FNKLD,RC no needed,RC no needed
01GF9W9,RC no needed,Updated RC
01GE7GV,RC no needed,RC no needed
01FKJ13,RC no needed,Updated RC
01G5HJV,RC no needed,RC no needed
01GEP1F,RC no needed,RC no needed
01FMAU4,RC no needed,Updated RC
01FMYWD,RC no needed,RC no needed
01FQ36N,Updated RC,Updated RC
01FMATR,RC no needed,RC no needed
01G9TPQ,RC no needed,RC no needed
01GF9XR,RC no needed,RC no needed
01FNUPP,RC no needed,RC no needed
01GFCRG,RC no needed,RC no needed
01G40KC,RC no needed,RC no needed
01GE7GQ,RC no needed,RC no needed
01FJY2Q,RC no needed,RC no needed
01GC0CG,RC no needed,RC no needed
01FTU0V,RC no needed,RC no needed
01GF6KK,RC no needed,RC no needed
01G3WTX,RC no needed,RC no needed
01FML62,RC no needed,RC no needed
01G3WV2,RC no needed,RC no needed
01FXJ8A,RC no needed,Updated RC
01FXY0E,RC no needed,RC no needed
01FPX5A,RC no needed,RC no needed
01FML69,RC no needed,RC no needed
01G9UAX,RC no needed,RC no needed
01FN1NC,Updated RC,RC no needed
01FJY0U,RC no needed,Updated RC
01GEP1A,RC no needed,RC no needed
01FML6N,RC no needed,RC no needed
01GC7UW,RC no needed,RC no needed
01G49TU,RC no needed,RC no needed
01FV3U3,RC no needed,RC no needed
01FJY0Y,RC no needed,RC no needed
01GET9H,RC no needed,RC no needed
01G3WWE,RC no needed,RC no needed
01G9Q67,RC no needed,RC no needed
01G3WQW,RC no needed,RC no needed
01GCPNE,RC no needed,RC no needed
01GEPCH,RC no needed,RC no needed
01FQGFA,RC no needed,RC no needed
01FPR4L,Updated RC,Updated RC
01G5R7A,Updated RC,RC no needed
01G4GL6,RC no needed,RC no needed
01FPW8U,RC no needed,RC no needed
01FNY48,RC no needed,RC no needed
01FMAN5,Updated RC,Updated RC
01FQ1TE,RC no needed,RC no needed
01GEYVV,RC no needed,RC no needed
01FQ1TH,RC no needed,RC no needed
01FU61H,RC no needed,RC no needed
01GEM6K,Updated RC,RC no needed
01FLWNP,RC no needed,Updated RC
01GCNT0,RC no needed,RC no needed
01G4K26,RC no needed,RC no needed
01FUXH4,Updated RC,RC no needed
01FU137,RC no needed,Updated RC
01FXY20,Updated RC,Updated RC
01FXY1M,RC no needed,Updated RC
01GET2N,RC no needed,RC no needed
01G3WX6,RC no needed,RC no needed
01GLAM7,RC no needed,RC no needed
01GEA8G,RC no needed,RC no needed
01FXXXP,RC no needed,RC no needed
01FV5T2,RC no needed,RC no needed
01G5Q7H,RC no needed,RC no needed
01GFA7X,RC no needed,RC no needed
01GEP18,RC no needed,RC no needed
01G5R70,RC no needed,RC no needed
01GAXK9,RC no needed,RC no needed
01GEG39,RC no needed,RC no needed
01G5GFA,RC no needed,RC no needed
01GFF71,RC no needed,RC no needed
01GFF4X,RC no needed,RC no needed
01GC7UH,RC no needed,RC no needed
01GL8KW,RC no needed,RC no needed
01GEYUH,RC no needed,RC no needed
01FNUY8,RC no needed,RC no needed
01FXJJC,RC no needed,RC no needed
01G7M06,RC no needed,RC no needed
01GJ9F1,RC no needed,RC no needed
01GJ9EU,RC no needed,RC no needed
01GAQ99,RC no needed,RC no needed
01G69HC,RC no needed,RC no needed
01G2WX7,RC no needed,Updated RC
01FRE8H,RC no needed,RC no needed
01G2WVK,RC no needed,Updated RC
01G1CWW,RC no needed,RC no needed
01G1CU1,RC no needed,RC no needed
01G773K,RC no needed,RC no needed
01G1750,RC no needed,RC no needed
01G1CV2,RC no needed,RC no needed
01G2W3Y,RC no needed,RC no needed
01G2WWW,Updated RC,RC no needed
01FYJR5,Updated RC,RC no needed
01FRE7V,RC no needed,Updated RC
01GAN6A,RC no needed,RC no needed
01G2WFK,Updated RC,RC no needed
01FRCJL,Updated RC,RC no needed
01G5X3K,RC no needed,RC no needed
01G2CAP,RC no needed,RC no needed
01G74W5,Updated RC,Updated RC
01FRCEV,RC no needed,RC no needed
01FRCGF,Updated RC,RC no needed
01G6K0E,RC no needed,RC no needed
01G5AU3,RC no needed,RC no needed
01G5ARJ,RC no needed,RC no needed
01FV9XT,Updated RC,RC no needed
01GJCV5,RC no needed,RC no needed
01GJCV3,RC no needed,RC no needed
01FYJHE,Updated RC,RC no needed
01G174Y,RC no needed,RC no needed
01FV9W3,RC no needed,Updated RC
01FX5LK,RC no needed,Updated RC
01G0F65,RC no needed,RC no needed
01FUXW9,Updated RC,RC no needed
01G17UK,RC no needed,RC no needed
01FX5JY,RC no needed,Updated RC
01FWGUA,Updated RC,RC no needed
01G18JL,RC no needed,Updated RC
01GCG3T,RC no needed,RC no needed
01GK5HK,RC no needed,RC no needed
01GAH46,RC no needed,RC no needed
01GAH55,RC no needed,Updated RC
01GHUCJ,RC no needed,RC no needed
01G0FDN,RC no needed,RC no needed
01GK5NY,RC no needed,RC no needed
01FX5L7,RC no needed,Updated RC
01GK5NR,RC no needed,RC no needed
01GCG2X,RC no needed,RC no needed
01GAH4U,RC no needed,RC no needed
01G5W0X,RC no needed,RC no needed
01GAQ9G,RC no needed,RC no needed
01G7T45,RC no needed,RC no needed
01G1CWQ,RC no needed,RC no needed
01G337U,Updated RC,Updated RC
01GHXDK,RC no needed,RC no needed
01G1AWM,Updated RC,Updated RC
01GAQ9J,RC no needed,RC no needed
01GHXJ4,RC no needed,RC no needed
01FV9QY,RC no needed,RC no needed
01FKRY2,RC no needed,Updated RC
01G17Y4,RC no needed,RC no needed
01G6736,RC no needed,RC no needed
01GK5MF,RC no needed,RC no needed
01G18HY,RC no needed,RC no needed
01G1828,RC no needed,RC no needed
01G2U7V,RC no needed,RC no needed
01FWP0G,Updated RC,RC no needed
01G2KGL,Updated RC,Updated RC
01G2HKA,RC no needed,RC no needed
01G2FMQ,RC no needed,RC no needed
01GCUCV,RC no needed,RC no needed
01G2KH0,RC no needed,RC no needed
01G2KGC,Updated RC,Updated RC
01G2VVF,RC no needed,RC no needed
01G6K9V,RC no needed,RC no needed
01FWP08,Updated RC,RC no needed
01G1811,RC no needed,RC no needed
01FX7MJ,RC no needed,Updated RC
01G06KG,RC no needed,RC no needed
01FUQE2,RC no needed,RC no needed
01GKXN0,RC no needed,RC no needed
01FRGN8,RC no needed,RC no needed
01G2AVR,RC no needed,RC no needed
01G2KFG,RC no needed,RC no needed
01GAE31,RC no needed,RC no needed
01GAE5R,RC no needed,RC no needed
01G6N86,RC no needed,RC no needed
01GJ8RM,RC no needed,RC no needed
01G6UR3,RC no needed,RC no needed
01G2CXR,RC no needed,RC no needed
01FUQN4,Updated RC,Updated RC
01G2CVA,RC no needed,Updated RC
01G2918,RC no needed,Updated RC
01FWWNQ,RC no needed,RC no needed
01FWWTW,RC no needed,RC no needed
01GHUF1,RC no needed,RC no needed
01GA5QX,Updated RC,Updated RC
01GHVLT,RC no needed,RC no needed
01FWWMG,RC no needed,Updated RC
01FXGET,RC no needed,RC no needed
01FYQKL,Updated RC,RC no needed
01FYQKC,Updated RC,Updated RC
01GJCAK,RC no needed,RC no needed
01G06K4,RC no needed,RC no needed
01FX33U,RC no needed,RC no needed
01G2H79,RC no needed,RC no needed
01FXG7L,Updated RC,Updated RC
